Names,Emax_amylase,Emax_glucosidase
G_cowa,99.75942261,51.12195122
G_cowa,99.43865277,51.56097561
G_cowa,99.51884523,50.68292683
P_debilis,99.3584603,50.02439024
P_debilis,99.67923015,50.09756098
P_debilis,99.43865277,49.87804878
P_evecta_leaf,93.82518043,51.7804878
P_evecta_leaf,93.90537289,52.0
P_evecta_leaf,93.82518043,52.07317073
P_evecta_Rhizome,36.08660786,50.31707317
P_evecta_Rhizome,35.12429832,50.90243902
P_evecta_Rhizome,36.08660786,50.46341463
E_cuneatum,86.44747394,39.48780488
E_cuneatum,86.44747394,39.56097561
E_cuneatum,86.60785886,39.70731707
P_anamense,35.3648757,54.26829268
P_anamense,35.12429832,54.19512195
P_anamense,34.80352847,55.07317073
A_marginata,15.95829992,37.51219512
A_marginata,16.03849238,37.73170732
A_marginata,16.11868484,37.43902439
E_cherrevensis,77.78668805,39.63414634
E_cherrevensis,77.94707298,39.70731707
E_cherrevensis,77.54611067,40.14634146
F_indica,84.52285485,38.90243902
F_indica,84.36246993,39.12195122
F_indica,84.44266239,39.26829268
H_perforata,34.80352847,40.51219512
H_perforata,35.3648757,39.92682927
H_perforata,35.28468324,39.19512195
R_dumetorum,30.3127506,9.634146341
R_dumetorum,30.15236568,10.58536585
R_dumetorum,30.55332799,11.24390244
C_filiformis,35.28468324,36.85365854
C_filiformis,35.68564555,36.19512195
C_filiformis,35.84603047,37.0
P_Kesiya,94.9478749,52.36585366
P_Kesiya,95.02806736,52.29268293
P_Kesiya,94.86768244,52.29268293
A_pulchellus,24.85966319,15.92682927
A_pulchellus,24.29831596,15.70731707
A_pulchellus,24.85966319,15.92682927
T_loureiri,47.31355253,20.68292683
T_loureiri,47.47393745,20.46341463
T_loureiri,47.23336006,20.3902439
R_succedanea,29.83159583,31.43902439
R_succedanea,29.91178829,31.65853659
R_succedanea,29.99198075,31.73170732
R_javanica,82.03688853,38.82926829
R_javanica,82.11708099,38.75609756
R_javanica,82.11708099,38.97560976
C_formosum,87.24939856,49.87804878
C_formosum,86.84843625,50.75609756
C_formosum,87.00882117,50.17073171
G_daltonii ,27.42582197,37.80487805
G_daltonii ,25.18043304,37.65853659
G_daltonii ,29.43063352,37.36585366
B_anceps,13.15156375,39.7804878
B_anceps,13.07137129,38.75609756
B_anceps,13.4723336,38.90243902
C_tomentosa,21.33119487,33.92682927
C_tomentosa,23.49639134,33.41463415
C_tomentosa,19.08580593,34.2195122
D_castanea_twig,42.34161989,29.6097561
D_castanea_twig,41.61988773,29.53658537
D_castanea_twig,42.26142743,29.90243902
D_castanea_leaf,84.202085,20.68292683
D_castanea_leaf,84.28227747,20.90243902
D_castanea_leaf,83.96150762,20.97560976
L_coromandelica,29.99198075,31.29268293
L_coromandelica,29.67121091,31.58536585
L_coromandelica,29.91178829,31.29268293
E_succirubrum,35.52526063,32.68292683
E_succirubrum,35.20449078,32.6097561
E_succirubrum,35.3648757,32.24390244
T_mucronata,95.82999198,9.268292683
T_mucronata,95.66960706,9.487804878
T_mucronata,95.5894146,10.2195122
D_winitii,93.42421812,39.48780488
D_winitii,93.18364074,39.7804878
D_winitii,93.18364074,39.85365854
B_ovata,92.06094627,34.14634146
B_ovata,91.98075381,32.53658537
B_ovata,92.78267843,31.43902439
A_harmandii,27.10505213,30.56097561
A_harmandii,27.18524459,30.92682927
A_harmandii,27.42582197,30.7804878
T_triptera,33.36006415,32.75609756
T_triptera,33.44025662,32.53658537
T_triptera,33.52044908,32.46341463
C_oblongifolius,12.26944667,53.09756098
C_oblongifolius,12.51002406,52.2195122
C_oblongifolius,12.99117883,53.68292683