"","chi2","T","P","P.adjusted","comparisons"
"156",91.6325317535522,-12.0836514608651,3.02139213705459e-18,3.02139213705459e-18,"A_vanprukii - H_perforata"
"157",91.6325317535522,-19.8446958950793,7.50645270111412e-29,7.50645270111412e-29,"B_anceps - H_perforata"
"158",91.6325317535522,20.8271065829546,5.51452301761564e-30,5.51452301761564e-30,"B_insulana - H_perforata"
"159",91.6325317535522,2.84899099483813,0.00297223249468383,0.00297223249468383,"C_filiformis - H_perforata"
"160",91.6325317535522,19.0587673447792,6.49568475905185e-28,6.49568475905185e-28,"C_formosum - H_perforata"
"161",91.6325317535522,-21.6130351332547,7.29472283262058e-31,7.29472283262058e-31,"C_oblongifolius - H_perforata"
"162",91.6325317535522,-16.3080174187286,2.09384871333175e-24,2.09384871333175e-24,"C_tomentosa - H_perforata"
"163",91.6325317535522,13.753749630253,8.46643845107452e-21,8.46643845107452e-21,"D_castanea_leaf - H_perforata"
"164",91.6325317535522,6.68039267755146,3.83085820784877e-09,3.83085820784877e-09,"D_castanea_twig - H_perforata"
"165",91.6325317535522,22.5954458211299,6.29301050877368e-32,6.29301050877368e-32,"D_winitii - H_perforata"
"166",91.6325317535522,10.2170711539022,3.23274096511755e-15,3.23274096511755e-15,"E_cherrevensis - H_perforata"
"167",91.6325317535522,17.2904281066038,1.06033136230546e-25,1.06033136230546e-25,"E_cuneatum - H_perforata"
"168",91.6325317535522,1.57185710060035,0.0605367325465084,0.0605367325465084,"E_succirubrum - H_perforata"
"169",91.6325317535522,15.5220888684284,2.47318603039343e-23,2.47318603039343e-23,"F_indica - H_perforata"
"170",91.6325317535522,30.9459366680693,1.04301697904925e-39,1.04301697904925e-39,"G_cowa - H_perforata"
"171",91.6325317535522,-11.6906871857151,1.26782309576252e-17,1.26782309576252e-17,"G_daltonii  - H_perforata"
"172",91.6325317535522,-9.62762474117711,3.16562159134644e-14,3.16562159134644e-14,"A_marginata - L_coromandelica"
"173",91.6325317535522,-6.09094626482633,3.90412203788865e-08,3.90412203788865e-08,"A_pulchellus - L_coromandelica"
"174",91.6325317535522,-3.63491954513829,0.000283270618298619,0.000283270618298619,"A_vanprukii - L_coromandelica"
"175",91.6325317535522,-11.3959639793525,3.76351556366249e-17,3.76351556366249e-17,"B_anceps - L_coromandelica"
"176",91.6325317535522,29.2758384986814,2.61761977828541e-38,2.61761977828541e-38,"B_insulana - L_coromandelica"
"177",91.6325317535522,11.297722910565,5.42144450181327e-17,5.42144450181327e-17,"C_filiformis - L_coromandelica"
"178",91.6325317535522,27.507499260506,9.49293337842672e-37,9.49293337842672e-37,"C_formosum - L_coromandelica"
"179",91.6325317535522,-13.1643032175279,6.47002670748249e-20,6.47002670748249e-20,"C_oblongifolius - L_coromandelica"
"180",91.6325317535522,-7.85928550300172,3.47181608034614e-11,3.47181608034614e-11,"C_tomentosa - L_coromandelica"
"181",91.6325317535522,22.2024815459799,1.65999749612547e-31,1.65999749612547e-31,"D_castanea_leaf - L_coromandelica"
"182",91.6325317535522,15.1291245932783,8.74430131098097e-23,8.74430131098097e-23,"D_castanea_twig - L_coromandelica"
"183",91.6325317535522,31.0441777368568,8.67041495730079e-40,8.67041495730079e-40,"D_winitii - L_coromandelica"
"184",91.6325317535522,18.6658030696291,1.95722661775656e-27,1.95722661775656e-27,"E_cherrevensis - L_coromandelica"
"185",91.6325317535522,25.7391600223306,4.21335166971447e-35,4.21335166971447e-35,"E_cuneatum - L_coromandelica"
"186",91.6325317535522,10.0205890163272,6.89043169175942e-15,6.89043169175942e-15,"E_succirubrum - L_coromandelica"
"187",91.6325317535522,23.9708207841553,2.33752250671103e-33,2.33752250671103e-33,"F_indica - L_coromandelica"
"188",91.6325317535522,39.3946685837961,6.77380683596653e-46,6.77380683596653e-46,"G_cowa - L_coromandelica"
"189",91.6325317535522,-3.24195526998821,0.000956152740217895,0.000956152740217895,"G_daltonii  - L_coromandelica"
"190",91.6325317535522,8.44873191572685,3.30543338341095e-12,3.30543338341095e-12,"H_perforata - L_coromandelica"
"191",91.6325317535522,-17.4869102441788,5.91774622349144e-26,5.91774622349144e-26,"A_marginata - P_anamense"
"192",91.6325317535522,-13.9502317678281,4.34106999703929e-21,4.34106999703929e-21,"A_pulchellus - P_anamense"
"193",91.6325317535522,-11.49420504814,2.61562013448722e-17,2.61562013448722e-17,"A_vanprukii - P_anamense"
"194",91.6325317535522,-19.2552494823542,3.7648695554397e-28,3.7648695554397e-28,"B_anceps - P_anamense"
"195",91.6325317535522,21.4165529956797,1.20314322539639e-30,1.20314322539639e-30,"B_insulana - P_anamense"
"196",91.6325317535522,3.43843740756325,0.000525509134313653,0.000525509134313653,"C_filiformis - P_anamense"
"197",91.6325317535522,19.6482137575043,1.27989196981644e-28,1.27989196981644e-28,"C_formosum - P_anamense"
"198",91.6325317535522,-21.0235887205296,3.30787792619421e-30,3.30787792619421e-30,"C_oblongifolius - P_anamense"
"199",91.6325317535522,-15.7185710060034,1.32471514676405e-23,1.32471514676405e-23,"C_tomentosa - P_anamense"
"200",91.6325317535522,14.3431960429781,1.15827713416236e-21,1.15827713416236e-21,"D_castanea_leaf - P_anamense"
"201",91.6325317535522,7.26983909027659,3.66340431587591e-10,3.66340431587591e-10,"D_castanea_twig - P_anamense"
"202",91.6325317535522,23.1848922338551,1.50551178340791e-32,1.50551178340791e-32,"D_winitii - P_anamense"
"203",91.6325317535522,10.8065175666274,3.42056683407365e-16,3.42056683407365e-16,"E_cherrevensis - P_anamense"
"204",91.6325317535522,17.8798745193289,1.86749151106694e-26,1.86749151106694e-26,"E_cuneatum - P_anamense"
"205",91.6325317535522,2.16130351332548,0.017270959492383,0.017270959492383,"E_succirubrum - P_anamense"
"206",91.6325317535522,16.1115352811535,3.85462414437654e-24,3.85462414437654e-24,"F_indica - P_anamense"
"207",91.6325317535522,31.5353830807944,3.46825822885345e-40,3.46825822885345e-40,"G_cowa - P_anamense"
"208",91.6325317535522,-11.1012407729899,1.12887885322634e-16,1.12887885322634e-16,"G_daltonii  - P_anamense"
"209",91.6325317535522,0.589446412725129,0.27885187873706,0.27885187873706,"H_perforata - P_anamense"
"210",91.6325317535522,-7.85928550300172,3.47181608034614e-11,3.47181608034614e-11,"L_coromandelica - P_anamense"
"211",91.6325317535522,-48.2363647746731,3.54291869540558e-51,3.54291869540558e-51,"A_marginata - P_debilis"
"212",91.6325317535522,-44.6996862983223,3.49334997012152e-49,3.49334997012152e-49,"A_pulchellus - P_debilis"
"213",91.6325317535522,-42.2436595786342,1.04054870341031e-47,1.04054870341031e-47,"A_vanprukii - P_debilis"
"214",91.6325317535522,-50.0047040128484,4.01634721314661e-52,4.01634721314661e-52,"B_anceps - P_debilis"
"215",91.6325317535522,-9.33290153481454,1.00240371782686e-13,1.00240371782686e-13,"B_insulana - P_debilis"
"216",91.6325317535522,-27.311017122931,1.43197377019708e-36,1.43197377019708e-36,"C_filiformis - P_debilis"
"217",91.6325317535522,-11.1012407729899,1.12887885322635e-16,1.12887885322635e-16,"C_formosum - P_debilis"
"218",91.6325317535522,-51.7730432510238,4.89354607695816e-53,4.89354607695816e-53,"C_oblongifolius - P_debilis"
"219",91.6325317535522,-46.4680255364977,3.37575802418386e-50,3.37575802418386e-50,"C_tomentosa - P_debilis"
"220",91.6325317535522,-16.4062584875161,1.54588916692735e-24,1.54588916692735e-24,"D_castanea_leaf - P_debilis"
"221",91.6325317535522,-23.4796154402176,7.44379738490585e-33,7.44379738490585e-33,"D_castanea_twig - P_debilis"
"222",91.6325317535522,-7.56456229663915,1.12800428923252e-10,1.12800428923252e-10,"D_winitii - P_debilis"
"223",91.6325317535522,-19.9429369638669,5.75698186286029e-29,5.75698186286029e-29,"E_cherrevensis - P_debilis"
"224",91.6325317535522,-12.8695800111653,1.81871070444304e-19,1.81871070444304e-19,"E_cuneatum - P_debilis"
"225",91.6325317535522,-28.5881510171688,1.03392924658734e-37,1.03392924658734e-37,"E_succirubrum - P_debilis"
"226",91.6325317535522,-14.6379192493407,4.35580227726103e-22,4.35580227726103e-22,"F_indica - P_debilis"
"227",91.6325317535522,0.785928550300178,0.217451399473714,0.217451399473714,"G_cowa - P_debilis"
"228",91.6325317535522,-41.8506953034842,1.82187395466708e-47,1.82187395466708e-47,"G_daltonii  - P_debilis"
"229",91.6325317535522,-30.1600081177691,4.6610962503634e-39,4.6610962503634e-39,"H_perforata - P_debilis"
"230",91.6325317535522,-38.608740033496,2.25176909374319e-45,2.25176909374319e-45,"L_coromandelica - P_debilis"
"231",91.6325317535522,-30.7494545304942,1.51171306424518e-39,1.51171306424518e-39,"P_anamense - P_debilis"
"232",91.6325317535522,-42.4401417162093,7.87817690786265e-48,7.87817690786265e-48,"A_marginata - P_evecta_leaf"
"233",91.6325317535522,-38.9034632398585,1.43136697075268e-45,1.43136697075268e-45,"A_pulchellus - P_evecta_leaf"
"234",91.6325317535522,-36.4474365201705,6.90574910553181e-44,6.90574910553181e-44,"A_vanprukii - P_evecta_leaf"
"235",91.6325317535522,-44.2084809543847,6.78989334045869e-49,6.78989334045869e-49,"B_anceps - P_evecta_leaf"
"236",91.6325317535522,-3.53667847635077,0.000386734119832946,0.000386734119832946,"B_insulana - P_evecta_leaf"
"237",91.6325317535522,-21.5147940644672,9.36424073483844e-31,9.36424073483844e-31,"C_filiformis - P_evecta_leaf"
"238",91.6325317535522,-5.30501771452616,7.99998750790021e-07,7.99998750790021e-07,"C_formosum - P_evecta_leaf"
"239",91.6325317535522,-45.9768201925601,6.40582610225714e-50,6.40582610225714e-50,"C_oblongifolius - P_evecta_leaf"
"240",91.6325317535522,-40.6718024780339,1.00756206923144e-46,1.00756206923144e-46,"C_tomentosa - P_evecta_leaf"
"241",91.6325317535522,-10.6100354290523,7.20172158235761e-16,7.20172158235761e-16,"D_castanea_leaf - P_evecta_leaf"
"242",91.6325317535522,-17.6833923817539,3.31717264745622e-26,3.31717264745622e-26,"D_castanea_twig - P_evecta_leaf"
"243",91.6325317535522,-1.76833923817539,0.0409618174827537,0.0409618174827537,"D_winitii - P_evecta_leaf"
"244",91.6325317535522,-14.1467139054031,2.23684555435196e-21,2.23684555435196e-21,"E_cherrevensis - P_evecta_leaf"
"245",91.6325317535522,-7.07335695270155,8.02515544962155e-10,8.02515544962155e-10,"E_cuneatum - P_evecta_leaf"
"246",91.6325317535522,-22.791927958705,3.89394643402545e-32,3.89394643402545e-32,"E_succirubrum - P_evecta_leaf"
"247",91.6325317535522,-8.84169619087694,6.94755765276207e-13,6.94755765276207e-13,"F_indica - P_evecta_leaf"
"248",91.6325317535522,6.58215160876394,5.65363761051657e-09,5.65363761051657e-09,"G_cowa - P_evecta_leaf"
"249",91.6325317535522,-36.0544722450204,1.31265686647344e-43,1.31265686647344e-43,"G_daltonii  - P_evecta_leaf"
"250",91.6325317535522,-24.3637850593053,9.38183245705109e-34,9.38183245705109e-34,"H_perforata - P_evecta_leaf"
"251",91.6325317535522,-32.8125169750322,3.39345636850931e-41,3.39345636850931e-41,"L_coromandelica - P_evecta_leaf"
"252",91.6325317535522,-24.9532314720305,2.43919549676367e-34,2.43919549676367e-34,"P_anamense - P_evecta_leaf"
"253",91.6325317535522,5.79622305846377,1.2267891362231e-07,1.2267891362231e-07,"P_debilis - P_evecta_leaf"
"254",91.6325317535522,-21.1218297893171,2.56542382074728e-30,2.56542382074728e-30,"A_marginata - P_evecta_Rhizome"
"255",91.6325317535522,-17.5851513129664,4.42818965703226e-26,4.42818965703226e-26,"A_pulchellus - P_evecta_Rhizome"
"256",91.6325317535522,-15.1291245932783,8.74430131098097e-23,8.74430131098097e-23,"A_vanprukii - P_evecta_Rhizome"
"257",91.6325317535522,-22.8901690274925,3.06681534579419e-32,3.06681534579419e-32,"B_anceps - P_evecta_Rhizome"
"258",91.6325317535522,17.7816334505414,2.48759483125114e-26,2.48759483125114e-26,"B_insulana - P_evecta_Rhizome"
"259",91.6325317535522,-0.196482137575044,0.422437720989873,0.422437720989873,"C_filiformis - P_evecta_Rhizome"
"260",91.6325317535522,16.013294212366,5.23908987771866e-24,5.23908987771866e-24,"C_formosum - P_evecta_Rhizome"
"261",91.6325317535522,-24.6585082656679,4.76800824380424e-34,4.76800824380424e-34,"C_oblongifolius - P_evecta_Rhizome"
"262",91.6325317535522,-19.3534905511417,2.8705332107219e-28,2.8705332107219e-28,"C_tomentosa - P_evecta_Rhizome"
"263",91.6325317535522,10.7082764978398,4.96059860726907e-16,4.96059860726907e-16,"D_castanea_leaf - P_evecta_Rhizome"
"264",91.6325317535522,3.63491954513829,0.000283270618298619,0.000283270618298619,"D_castanea_twig - P_evecta_Rhizome"
"265",91.6325317535522,19.5499726887168,1.67369599116044e-28,1.67369599116044e-28,"D_winitii - P_evecta_Rhizome"
"266",91.6325317535522,7.17159802148907,5.42297329833551e-10,5.42297329833551e-10,"E_cherrevensis - P_evecta_Rhizome"
"267",91.6325317535522,14.2449549741906,1.60863498112347e-21,1.60863498112347e-21,"E_cuneatum - P_evecta_Rhizome"
"268",91.6325317535522,-1.47361603181282,0.0728221685452436,0.0728221685452436,"E_succirubrum - P_evecta_Rhizome"
"269",91.6325317535522,12.4766157360152,7.34067176433352e-19,7.34067176433352e-19,"F_indica - P_evecta_Rhizome"
"270",91.6325317535522,27.9004635356561,4.2030599811381e-37,4.2030599811381e-37,"G_cowa - P_evecta_Rhizome"
"271",91.6325317535522,-14.7361603181282,3.15171223882069e-22,3.15171223882069e-22,"G_daltonii  - P_evecta_Rhizome"
"272",91.6325317535522,-3.04547313241317,0.00170423318685362,0.00170423318685362,"H_perforata - P_evecta_Rhizome"
"273",91.6325317535522,-11.49420504814,2.6156201344872e-17,2.6156201344872e-17,"L_coromandelica - P_evecta_Rhizome"
"274",91.6325317535522,-3.6349195451383,0.000283270618298616,0.000283270618298616,"P_anamense - P_evecta_Rhizome"
"275",91.6325317535522,27.1145349853559,2.16552714717448e-36,2.16552714717448e-36,"P_debilis - P_evecta_Rhizome"
"276",91.6325317535522,21.3183119268922,1.5471956315561e-30,1.5471956315561e-30,"P_evecta_leaf - P_evecta_Rhizome"
"277",91.6325317535522,-44.2084809543847,6.78989334045869e-49,6.78989334045869e-49,"A_marginata - P_Kesiya"
"278",91.6325317535522,-40.6718024780339,1.00756206923144e-46,1.00756206923144e-46,"A_pulchellus - P_Kesiya"
"279",91.6325317535522,-38.2157757583459,4.14048785725027e-45,4.14048785725027e-45,"A_vanprukii - P_Kesiya"
"280",91.6325317535522,-45.9768201925601,6.40582610225714e-50,6.40582610225714e-50,"B_anceps - P_Kesiya"
"281",91.6325317535522,-5.30501771452616,7.99998750790021e-07,7.99998750790021e-07,"B_insulana - P_Kesiya"
"282",91.6325317535522,-23.2831333026426,1.18953598860363e-32,1.18953598860363e-32,"C_filiformis - P_Kesiya"
"283",91.6325317535522,-7.07335695270155,8.02515544962155e-10,8.02515544962155e-10,"C_formosum - P_Kesiya"
"284",91.6325317535522,-47.7451594307355,6.5743484470552e-51,6.5743484470552e-51,"C_oblongifolius - P_Kesiya"
"285",91.6325317535522,-42.4401417162093,7.87817690786265e-48,7.87817690786265e-48,"C_tomentosa - P_Kesiya"
"286",91.6325317535522,-12.3783746672277,1.04366373429921e-18,1.04366373429921e-18,"D_castanea_leaf - P_Kesiya"
"287",91.6325317535522,-19.4517316199293,2.19081426735565e-28,2.19081426735565e-28,"D_castanea_twig - P_Kesiya"
"288",91.6325317535522,-3.53667847635077,0.000386734119832946,0.000386734119832946,"D_winitii - P_Kesiya"
"289",91.6325317535522,-15.9150531435785,7.12911986409065e-24,7.12911986409065e-24,"E_cherrevensis - P_Kesiya"
"290",91.6325317535522,-8.84169619087694,6.94755765276207e-13,6.94755765276207e-13,"E_cuneatum - P_Kesiya"
"291",91.6325317535522,-24.5602671968804,5.97035772394968e-34,5.97035772394968e-34,"E_succirubrum - P_Kesiya"
"292",91.6325317535522,-10.6100354290523,7.20172158235761e-16,7.20172158235761e-16,"F_indica - P_Kesiya"
"293",91.6325317535522,4.81381237058856,4.94119575409459e-06,4.94119575409459e-06,"G_cowa - P_Kesiya"
"294",91.6325317535522,-37.8228114831958,7.65760961926838e-45,7.65760961926838e-45,"G_daltonii  - P_Kesiya"
"295",91.6325317535522,-26.1321242974807,1.7805056557732e-35,1.7805056557732e-35,"H_perforata - P_Kesiya"
"296",91.6325317535522,-34.5808562132076,1.54664279154107e-42,1.54664279154107e-42,"L_coromandelica - P_Kesiya"
"297",91.6325317535522,-26.7215707102059,4.99057949341503e-36,4.99057949341503e-36,"P_anamense - P_Kesiya"
"298",91.6325317535522,4.02788382028838,7.8023874067877e-05,7.8023874067877e-05,"P_debilis - P_Kesiya"
"299",91.6325317535522,-1.76833923817539,0.0409618174827537,0.0409618174827537,"P_evecta_leaf - P_Kesiya"
"300",91.6325317535522,-23.0866511650676,1.90693859322862e-32,1.90693859322862e-32,"P_evecta_Rhizome - P_Kesiya"
"301",91.6325317535522,-12.3783746672277,1.04366373429921e-18,1.04366373429921e-18,"A_marginata - R_dumetorum"
"302",91.6325317535522,-8.84169619087694,6.94755765276207e-13,6.94755765276207e-13,"A_pulchellus - R_dumetorum"
"303",91.6325317535522,-6.3856694711889,1.22833984603473e-08,1.22833984603473e-08,"A_vanprukii - R_dumetorum"
"304",91.6325317535522,-14.1467139054031,2.23684555435196e-21,2.23684555435196e-21,"B_anceps - R_dumetorum"
"305",91.6325317535522,26.5250885726308,7.60561546406651e-36,7.60561546406651e-36,"B_insulana - R_dumetorum"
"306",91.6325317535522,8.54697298451437,2.23639860555977e-12,2.23639860555977e-12,"C_filiformis - R_dumetorum"
"307",91.6325317535522,24.7567493344554,3.81058316042053e-34,3.81058316042053e-34,"C_formosum - R_dumetorum"
"308",91.6325317535522,-15.9150531435785,7.12911986409065e-24,7.12911986409065e-24,"C_oblongifolius - R_dumetorum"
"309",91.6325317535522,-10.6100354290523,7.20172158235761e-16,7.20172158235761e-16,"C_tomentosa - R_dumetorum"
