Names,Emax_amylase_1,Emax_amylase_2,Emax_amylase_3,IC50_amylase_1,IC50_amylase_2,IC50_amylase_3,Emax_glucosidase_1,Emax_glucosidase_2,Emax_glucosidase_3,IC50_glucosidase_1,IC50_glucosidase_2,IC50_glucosidase_3
G_cowa,99.75942261,99.43865277,99.51884523,0.133531621,0.13348797,0.13258872,51.12195122,51.56097561,50.68292683,0.630757381,0.608844381,0.644283782
P_debilis,99.3584603,99.67923015,99.43865277,0.136870056,0.137004509,0.136889435,50.02439024,50.09756098,49.87804878,0.697792869,0.727287099,0.731095424
P_evecta_leaf,93.82518043,93.90537289,93.82518043,0.136674822,0.134144455,0.134566309,51.7804878,52,52.07317073,0.575489784,0.572705659,0.566191922
P_evecta_Rhizome,36.08660786,35.12429832,36.08660786,,,,50.31707317,50.90243902,50.46341463,0.641052022,0.591332734,0.652539994
E_cuneatum,86.44747394,86.44747394,86.60785886,0.171532301,0.164251297,0.186662886,39.48780488,39.56097561,39.70731707,,,
P_anamense,35.3648757,35.12429832,34.80352847,,,,54.26829268,54.19512195,55.07317073,0.531791445,0.523258781,0.511069199
A_marginata,15.95829992,16.03849238,16.11868484,,,,37.51219512,37.73170732,37.43902439,,,
E_cherrevensis,77.78668805,77.94707298,77.54611067,0.176732594,0.182894169,0.173493962,39.63414634,39.70731707,40.14634146,,,
F_indica,84.52285485,84.36246993,84.44266239,0.158998013,0.163765448,0.154955742,38.90243902,39.12195122,39.26829268,,,
H_perforata,34.80352847,35.3648757,35.28468324,,,,40.51219512,39.92682927,39.19512195,,,
R_dumetorum,30.3127506,30.15236568,30.55332799,,,,9.634146341,10.58536585,11.24390244,,,
C_filiformis,35.28468324,35.68564555,35.84603047,,,,36.85365854,36.19512195,37,,,
P_Kesiya,94.9478749,95.02806736,94.86768244,0.110734917,0.110631085,0.112671948,52.36585366,52.29268293,52.29268293,0.596354652,0.586174114,0.613579166
A_pulchellus,24.85966319,24.29831596,24.85966319,,,,15.92682927,15.70731707,15.92682927,,,
T_loureiri,47.31355253,47.47393745,47.23336006,,,,20.68292683,20.46341463,20.3902439,,,
R_succedanea,29.83159583,29.91178829,29.99198075,,,,31.43902439,31.65853659,31.73170732,,,
R_javanica,82.03688853,82.11708099,82.11708099,0.13509943,0.136925867,0.135987918,38.82926829,38.75609756,38.97560976,,,
C_formosum,87.24939856,86.84843625,87.00882117,0.165075142,0.16198642,0.17243936,49.87804878,50.75609756,50.17073171,0.627348207,0.634787991,0.685348279
G_daltonii ,27.42582197,25.18043304,29.43063352,,,,37.80487805,37.65853659,37.36585366,,,
B_anceps,13.15156375,13.07137129,13.4723336,,,,39.7804878,38.75609756,38.90243902,,,
C_tomentosa,21.33119487,23.49639134,19.08580593,,,,33.92682927,33.41463415,34.2195122,,,
D_castanea_twig,42.34161989,41.61988773,42.26142743,,,,29.6097561,29.53658537,29.90243902,,,
D_castanea_leaf,84.202085,84.28227747,83.96150762,0.161299348,0.16150857,0.160221486,20.68292683,20.90243902,20.97560976,,,
L_coromandelica,29.99198075,29.67121091,29.91178829,,,,31.29268293,31.58536585,31.29268293,,,
E_succirubrum,35.52526063,35.20449078,35.3648757,,,,32.68292683,32.6097561,32.24390244,,,
T_mucronata,95.82999198,95.66960706,95.5894146,0.156587377,0.15455124,0.156910164,9.268292683,9.487804878,10.2195122,,,
D_winitii,93.42421812,93.18364074,93.18364074,0.11887918,0.119152301,0.118390711,39.48780488,39.7804878,39.85365854,,,
B_insulana,92.06094627,91.98075381,92.78267843,0.158688155,0.157088139,0.163882747,34.14634146,32.53658537,31.43902439,,,
A_vanprukii,27.10505213,27.18524459,27.42582197,,,,30.56097561,30.92682927,30.7804878,,,
T_triptera,33.36006415,33.44025662,33.52044908,,,,32.75609756,32.53658537,32.46341463,,,
C_oblongifolius,12.26944667,12.51002406,12.99117883,,,,53.09756098,52.2195122,53.68292683,0.498515812,0.530108326,0.439253073